species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Silver perch,11,30.66600174892931,28.957568579656126,0.9442890148099325,0.33447955000936025,0.501288386183234,0.5126752487460695,0.48392415498763397,0.9830429820742721
Bay anchovy,12,2.9414478013428216,28.2904353871169,9.61786076033776,0.0793390479767142,0.14701413448432168,0.21951219512195122,0.9188501659229011,1.6404268311705437
Mojarra,12,0.12124412291674261,14.093453305757935,116.24030069841652,0,0,1,1,3.5689001613408893
Pigfish,12,1.4100917048360748,45.62635694657661,32.35701393753021,0,0,1,1,3.017120204801564
Pinfish,12,2.920996796648294,14.14578500187084,4.842793740172006,0,0,1,1,3.3132726569945428
Pink shrimp,12,0.9806841720104805,33.770705317036075,34.435862514027775,0,0,1,1,3.913728055105348
Rainwater killifish,12,4.477037367658913,27.1373324008871,6.061448715376141,0.07042305413831876,0.131579853154431,0.535427807486631,0.9233562446325936,1.651929417666752
Silver perch,12,43.19246716268402,35.83906581400972,0.8297526899545289,0.2651484372081894,0.41915783067051654,0.6165224159075587,0.5378411076757629,1.2486259214574655
Bay anchovy,13,2.213879528928365,26.90013181456131,12.150675528212865,0.05153235656331836,0.09801382951588769,0.355525965379494,0.946959818561191,1.8156177508018514
Mojarra,13,0.12148575737672443,15.760436080673633,129.73073075390144,0,0,1,1,3.7133120387587737
Pigfish,13,1.0564677352473093,24.016772306562984,22.73308640224671,0,0,1,1,2.9839327004418674
Pinfish,13,1.638548004386774,12.502952707599059,7.630507421281371,0,0,1,1,3.3888976076313866
Pink shrimp,13,0.6792161006475137,49.54939731479178,72.95085800756947,0,0,1,1,3.9211872894535533
Rainwater killifish,13,6.485106786742514,34.829551542427794,5.370698230232654,0.046664392002208045,0.08916782181333556,0.7159693576900412,0.9471147642012173,1.788043732371409
Silver perch,13,37.79154922891489,32.50022199973097,0.8599864959985434,0.1895832890617994,0.31873899172090747,0.7035748898254602,0.6553142269631151,1.5817396563474653
Bay anchovy,14,2.950567205211872,31.631752739161023,10.720566772140218,0.0569965344899393,0.10784620881930015,0.3679906542056075,0.9410470211857819,1.7035233055241021
Mojarra,14,0.09579916641089872,16.205933625681972,169.16570605815085,0,0,1,1,3.506962339231746
Pigfish,14,0.9091900225120787,32.19074769897614,35.40596234221046,0,0,1,1,2.9181069540491995
Pinfish,14,2.309288086130505,12.003945060088869,5.198115008770062,0,0,1,1,3.4834687952149044
Pink shrimp,14,0.8673935101866198,22.151520327988642,25.538028666161843,0,0,1,1,3.951919537602655
Rainwater killifish,14,5.067086674694866,46.69935333156838,9.216213641022938,0.061564427786139284,0.11598811372104856,0.407520325203252,0.9357133311060064,1.6557202342422128
Silver perch,14,34.780839061728955,32.9308353681982,0.9468096876487836,0.23457560553154533,0.3800101095154056,0.6300963186954667,0.6093156986774008,1.2599999155205903
Bay anchovy,15,3.1104104547117988,22.85217012119616,7.346995020087654,0.07594123371050805,0.1411624191566967,0.41085899513776336,0.9198119771074504,1.8684777107731958
Mojarra,15,0.12055025260004028,17.179073996828436,142.5054997920651,0,0,1,1,3.646960754951058
Pigfish,15,0.7230635936183026,35.75222614906344,49.445479574147456,0,0,1,1,2.802234590491918
Pinfish,15,2.7343112702555232,15.888917436867183,5.810939526055625,0,0,1,1,3.503438556997054
Pink shrimp,15,0.7355328648622144,30.326675440986534,41.230891085563606,0,0,1,1,4.181528622968092
Rainwater killifish,15,6.995602794372913,26.08367621642204,3.728581650948378,0.09900121214469658,0.18016579244984834,0.5740356698465366,0.885757006274727,1.7411977978853184
Silver perch,15,34.27217192572423,33.77007428747315,0.9853496988945071,0.23753211929010484,0.38388033019516654,0.618931651017751,0.613265879707701,1.463974683588559
Bay anchovy,16,1.9985633562176344,32.29437189440677,16.158793162066793,0.032389244193624295,0.06274618682011318,0.46167557932263814,0.9666853572987683,1.6623077099075723
Mojarra,16,0.11507762549529796,14.09199882799053,122.45646160440046,0,0,1,1,3.645052786460908
Pigfish,16,1.2797870543154097,52.77996209198401,41.24120642884401,0,0,1,1,2.7781149966864804
Pinfish,16,1.8022510196870158,12.126950568471997,6.728779973490041,0,0,1,1,3.476815530307349
Pink shrimp,16,0.6252017610371303,27.664336655200103,44.24865440127437,0,0,1,1,4.015967932273113
Rainwater killifish,16,7.20903833743188,43.49149176266755,6.032911704303793,0.11105478736689102,0.19990875090882201,0.29702970297029707,0.8834774431510055,1.3309021412542126
Silver perch,16,21.686286373769686,29.301517559656602,1.3511542296655181,0.2545654480417081,0.4058225076086187,0.5229243473712646,0.646912512166108,1.2417363626365676
Bay anchovy,17,3.1548554277662113,33.25935027028903,10.542273974766015,0.0589244556891,0.11129114144550498,0.3577235772357723,0.9390761021482101,1.6475970850408503
Mojarra,17,0.0890058902636009,14.074876381370604,158.13421268734334,0,0,1,1,3.622499053206406
Pigfish,17,1.2136204525316592,37.140232855329884,30.60284026843312,0,0,1,1,2.8106640800295
Pinfish,17,1.9145731561881258,30.813862983023462,16.09437742476929,0,0,1,1,3.374156067518452
Pink shrimp,17,0.5133579671933338,30.619329341915495,59.64518191724891,0,0,1,1,4.027541871705012
Rainwater killifish,17,7.6071473257500815,28.9549275898471,3.806279325212369,0.11638080424121856,0.20849660581600601,0.4989535370447886,0.8683631914146879,1.4701525728459486
Silver perch,17,24.062999722098613,28.460693548405263,1.1827575064246028,0.2332484552056198,0.37826677052959334,0.5871676835977687,0.6509577710056595,1.2981704629040585
Bay anchovy,18,1.7916838171549683,27.028230120376204,15.085379385350807,0.04698494003448883,0.08975284789280942,0.27814569536423833,0.9521487470618907,1.7973685033706301
Mojarra,18,0.1079181088242955,15.013347548418459,139.1179637224936,0,0,1,1,3.564684557679653
Pigfish,18,0.8078243818782509,39.28918876935805,48.635804576742046,0,0,1,1,2.945404578492252
Pinfish,18,1.8027482089936202,20.22423031725424,11.218555212735097,0,0,1,1,3.3792047973010244
Pink shrimp,18,0.4825184622268506,55.656878479015724,115.34662989299106,0,0,1,1,3.8987896085191402
Rainwater killifish,18,8.412550869753742,46.752556360604316,5.557476808692734,0.11845420362117073,0.21181770918765683,0.3055051421657592,0.8750341419782542,1.5432830161845708
Silver perch,18,38.653787747506144,27.493936021711306,0.7112869817909412,0.21163428106903964,0.3493368987254341,0.7010921564759721,0.5797647768395657,1.362764022699215
Bay anchovy,19,4.679521638342706,38.99586589521411,8.333301757960209,0.06814405895517622,0.12759338664830008,0.404566210045662,0.9285476744694188,2.107970682244224
Mojarra,19,0.10634073039521745,20.348868323614433,191.35535601445895,0,0,1,1,3.538293295505688
Pigfish,19,0.9958019732377302,48.825726981613194,49.03156279442008,0,0,1,1,2.880323394837519
Pinfish,19,2.7373817044875115,21.788240748957353,7.959518657277106,0,0,1,1,3.6001752164237697
Pink shrimp,19,0.8483514792522546,40.192099318475535,47.376706826634226,0,0,1,1,3.920607078839599
Rainwater killifish,19,4.819642590985527,43.36059658093527,8.996641506578777,0.07626562036772502,0.14172267314767062,0.29162462159434915,0.9212622423725951,1.5924001597616102
Silver perch,19,82.74679563884214,33.05760217633875,0.39950310971100844,0.24696204627211937,0.39610194554105277,0.7228270477263581,0.3062057702776266,1.176375686275384
Bay anchovy,20,2.775915016568365,29.946018114822753,10.787800756178246,0.04105278354151449,0.07886782340057479,0.5351609058402861,0.9569106711677542,2.1725400461131166
Mojarra,20,0.10429568705067317,27.57554208437122,264.39772213182073,0,0,1,1,3.545914324839013
Pigfish,20,0.8491048388188434,38.965221740352064,45.88976526686041,0,0,1,1,2.9910097783793534
Pinfish,20,1.7157346629186638,16.451567135785265,9.588642982708782,0,0,1,1,3.4452006390521146
Pink shrimp,20,0.776593408130554,38.46222774502881,49.52685323149547,0,0,1,1,3.8277786148376953
Rainwater killifish,20,6.209058415740647,23.17915638880809,3.7331193937628893,0.06789088724007132,0.1271494832501719,0.6990931574608409,0.9193953338213883,1.7159598678748773
Silver perch,20,30.175658009340466,25.653904506438817,0.8501522816336929,0.3053155390050477,0.4678034235887037,0.5672462142456535,0.49096909447476117,1.008647796355091
Bay anchovy,21,3.436645919290837,31.42260028140877,9.143391847564244,0.060879735234748523,0.1147721710817244,0.41791044776119396,0.9363376784082734,1.7047349402460237
Mojarra,21,0.13618199462507286,31.644475858042764,232.36901431179808,0,0,1,1,3.5693460131960015
Pigfish,21,0.7120555363637923,61.43508266595178,86.2784986964336,0,0,1,1,3.0784880161464243
Pinfish,21,2.061634057383633,13.92842825887794,6.75601385657848,0,0,1,1,3.2862171142853622
Pink shrimp,21,0.6974653437174582,38.58949718239129,55.32819304929338,0,0,1,1,4.026474121343622
Rainwater killifish,21,7.499324549587235,26.871084096864116,3.583133910152363,0.08683818297328413,0.1597996543252083,0.6338083927157561,0.8978013056540572,1.705369355512212
Silver perch,21,27.68272345046482,26.000534483736548,0.9392332560870189,0.22412865813919972,0.3661848068811625,0.6449411223111235,0.6219694358267265,1.3580468276932427
Bay anchovy,22,3.67960740009926,32.127916730354066,8.731343656251859,0.054542994759115816,0.10344385203862609,0.49667616334283005,0.9423543664672072,1.9856860194113377
Mojarra,22,0.10877581248582413,13.46185215595865,123.7577715883577,0,0,1,1,3.621955855375951
Pigfish,22,0.8458740124041868,64.04536393846779,75.71501547427228,0,0,1,1,2.9689659746272734
Pinfish,22,1.7915586823471303,18.61783075815195,10.391973727458724,0,0,1,1,3.4562804439069006
Pink shrimp,22,1.2677229506186962,26.37425878393876,20.804434258342596,0,0,1,1,3.83695093748867
Rainwater killifish,22,8.192129252239239,35.61304343899357,4.347226751733573,0.0952266035341814,0.17389388319621737,0.5350749879051766,0.8930525048159905,1.4982681158292335
Silver perch,22,41.0381815635597,18.859254534747272,0.45955385487873457,0.20120635155902053,0.3350071389447434,0.755519519470652,0.4680047225501771,1.5212611196134023
Bay anchovy,23,2.9831191966739214,19.916486993637545,6.676396644104521,0.03929370870241714,0.07561617735851835,0.7097701149425287,0.9565289630726548,1.8810462743040135
Mojarra,23,0.1352878839057649,20.40985667929701,150.8624134701785,0,0,1,1,3.594878165551329
Pigfish,23,1.151692141891093,30.404943020305897,26.400234849549808,0,0,1,1,2.9013599899014215
Pinfish,23,1.69983968992992,24.5734762954105,14.456349290457856,0,0,1,1,3.369084429922635
Pink shrimp,23,0.9180150828646033,40.93709028067585,44.593047592349414,0,0,1,1,3.8404353148259767
Rainwater killifish,23,6.971855556425492,26.48509303476689,3.7988585420931957,0.09830366890379907,0.17900999821281582,0.5704781704781705,0.8869339764135675,1.5945786319078634
Silver perch,23,42.48703504034726,36.78230405033607,0.8657300754313931,0.24979546638947855,0.39973815413350816,0.627098251767842,0.5692632625170829,1.5299008429917278
Bay anchovy,24,2.682456393223873,26.00497542941394,9.69446343847559,0.03544696120061876,0.06846697615398356,0.6338912133891212,0.9622352707878749,1.5704423033951254
Mojarra,24,0.15973933875477225,16.20301323871691,101.43408233078617,0,0,1,1,3.6175700327377576
Pigfish,24,0.8987082183158511,41.8879459836622,46.60906079412381,0,0,1,1,2.8848365846762283
Pinfish,24,1.802410151762722,15.982084768956007,8.867063222721997,0,0,1,1,3.4231677775947813
Pink shrimp,24,0.9450439197684036,22.653450599149547,23.970791330736347,0,0,1,1,3.966166570554642
Rainwater killifish,24,4.103917907594511,34.0719082706574,8.302287969163707,0.04441892618223311,0.08505959642957059,0.6043755697356428,0.9523475418181371,1.842552918752825
Silver perch,24,44.76447713727646,28.14351120613015,0.6287018860920498,0.2064733257640208,0.34227582384926397,0.7212673600664968,0.5566537239675257,1.4465260008775527
Bay anchovy,25,2.9808635031326105,26.9281914225322,9.033688189423358,0.0942397004216638,0.17224690419356684,0.13586413586413584,0.9043429609240228,1.899695000377084
Mojarra,25,0.08029394334015404,14.516977976279298,180.7979203958156,0,0,1,1,3.7153184046299086
Pigfish,25,0.8643810571518539,40.37961681957875,46.71506447935136,0,0,1,1,2.9954147042617114
Pinfish,25,2.4413222298759756,20.527902766938535,8.408518349493502,0,0,1,1,3.27879773801757
Pink shrimp,25,0.8763480719634504,36.52823482670405,41.68233604355727,0,0,1,1,3.93874142037807
Rainwater killifish,25,6.551595534441453,33.628371570213794,5.132852202708624,0.05550259761835194,0.10516809289449147,0.6775098149186765,0.9371713479474152,1.773275956456503
Silver perch,25,19.31659692441343,26.725808619802983,1.3835671326777732,0.2637374825448145,0.4173928306909451,0.5025580836748623,0.640464199693453,1.164014175237969
Bay anchovy,26,3.0099712824372635,36.117123920808886,11.999158972561284,0.07096852822134127,0.13253149154477098,0.13860103626943013,0.9282117216964665,1.480485732951736
Mojarra,26,0.14156430189921682,23.15689530706867,163.57863526607608,0,0,1,1,3.663720577699611
Pigfish,26,0.7364477580355101,43.76964894831512,59.43347436493198,0,0,1,1,2.7943729317849244
Pinfish,26,1.395887315941381,22.297208420775565,15.973501704712042,0,0,1,1,3.3924033497506425
Pink shrimp,26,0.9270165163741922,37.0573456124674,39.9748493774507,0,0,1,1,4.00795885271238
Rainwater killifish,26,5.70668073294588,22.218865397577282,3.8934831712773157,0.02953466720900672,0.057374789115305934,0.8596187175043327,0.963944551364373,1.7174063169368095
Silver perch,26,32.670833407349974,29.79139145058699,0.9118650595513981,0.23022883109445652,0.3742861901385233,0.6422076554007731,0.6076257765866732,1.2869062907967488
Bay anchovy,27,3.376113111071632,37.972926883610135,11.247528040183738,0.053661554603303525,0.10185728874487925,0.37625,0.9445433700834933,1.7664997767955595
Mojarra,27,0.1437436082795847,15.255547110764013,106.13026410949428,0,0,1,1,3.5823304463924353
Pigfish,27,0.6136049262041359,47.218603187418786,76.9527772202239,2.1564782707886142e-4,4.3120266623971763e-4,0.9831932773109243,0.9997815969313104,2.928961180580817
Pinfish,27,1.0337203162726936,26.53589625193559,25.670286086295192,0,0,1,1,3.5140255218634118
Pink shrimp,27,0.8331863270701634,39.307807627136846,47.1776916519499,0,0,1,1,3.828721614339112
Rainwater killifish,27,3.6359579462864926,33.40681962424709,9.18790044267878,0.03272920878307298,0.06338391226803738,0.6771255060728745,0.9648587295931791,1.8490812899840976
Silver perch,27,52.38245297407978,28.113850774196845,0.5367035940090151,0.25255267066726605,0.40326075953792023,0.6901538707476363,0.4226866883116883,1.067098475110816
Bay anchovy,28,1.8303569565690525,37.02966366562068,20.230842695859522,0.018433708805110194,0.036200115227406925,0.6157205240174672,0.9810052659812741,2.093087582349356
Mojarra,28,0.13035487725360398,22.073874630442845,169.33677584996198,0,0,1,1,3.5349954006117565
Pigfish,28,0.7165587089646099,53.39526961874706,74.51625240296143,0,0,1,1,2.9528727289659984
Pinfish,28,1.055088781214659,20.041374582371283,18.994965105494607,0,0,1,1,3.3880029551531563
Pink shrimp,28,1.0187617406526366,46.71504506976795,45.85473050827515,0,0,1,1,3.9180979143755557
Rainwater killifish,28,6.864963623484334,26.06531491682336,3.7968613304310312,0.12049226209378676,0.21507022613191662,0.4841689744703758,0.8641427798810167,1.431106410274844
Silver perch,28,36.276952787692615,43.976704553534375,1.212249132690494,0.2677662473229216,0.42242211115550704,0.5327485254834711,0.6145582109186583,1.231517714323109
Bay anchovy,29,3.3212260887664007,30.250178784281644,9.10813596418467,0.08325618686921278,0.15371467595276192,0.22311557788944728,0.9147043450860368,1.8736179698310051
Mojarra,29,0.14091971495599512,19.24033253230845,136.5340012099557,0,0,1,1,3.555131241654322
Pigfish,29,0.5607006160193999,64.97519568060366,115.88215497583037,1.0831079281018471e-4,2.1659812570565306e-4,0.9873417721518988,0.9998907663751099,2.8006000619023212
Pinfish,29,2.1341785816041803,19.915090445215107,9.331501410835871,0,0,1,1,3.352504700350351
Pink shrimp,29,0.7629573414102717,27.526953349056058,36.0792823595805,0,0,1,1,3.8987172449153022
Rainwater killifish,29,6.612606987184888,24.439189823107572,3.695847926615067,0.12333678999478812,0.2195900483155374,0.48441926345609065,0.8604973075783136,1.6774775361146792
Silver perch,29,27.254176932554067,30.385164856372658,1.1148810302203163,0.20962776816476436,0.346598802841323,0.6334923833869073,0.6712585408860481,1.364139276350626
Bay anchovy,30,2.2963098528651975,35.80827181864577,15.593832763451482,0.04325085135077549,0.08291553521336763,0.3120567375886525,0.9558836321482339,1.840952406170094
Mojarra,30,0.10069782608362268,12.493084610685548,124.0650875651565,0,0,1,1,3.508354543651802
Pigfish,30,1.02779089409881,51.703933833822155,50.30588822170614,0,0,1,1,2.9460238189147523
Pinfish,30,2.09488809434562,23.640650716679595,11.284922941940831,0,0,1,1,3.4091614589937196
Pink shrimp,30,0.7374410101600649,36.90122684924536,50.039564305266644,0,0,1,1,4.042460530953824
Rainwater killifish,30,7.789530677102533,29.67846076009676,3.8100447883640967,0.10699043909223514,0.19329966242521565,0.5351099830795262,0.8779830572227783,1.5543795802295846
Silver perch,30,43.18903955551433,25.341035697530103,0.5867469144563228,0.23438430005006197,0.37975904269125305,0.6987092553863837,0.48650646950092424,1.183557828513822
Bay anchovy,31,2.6766543435293726,33.513647200896564,12.52072285011828,0.032327085428640025,0.06262954035584034,0.5766016713091923,0.9661841944942653,1.9188107645220034
Mojarra,31,0.06915302917761885,22.380290938004382,323.6342818840348,0,0,1,1,3.69940200035146
Pigfish,31,0.9106788202681616,34.30982646513516,37.675002099019025,0,0,1,1,2.725254630040852
Pinfish,31,1.7151542700622786,15.457163861613328,9.012112864373456,0,0,1,1,3.477695147428977
Pink shrimp,31,0.8421638117684275,44.64111825098709,53.00764248851648,0,0,1,1,3.863248110485143
Rainwater killifish,31,5.798368152114555,45.775017139513935,7.894465466602126,0.03911020069598871,0.07527632905497987,0.6652286453839517,0.9575941707475556,1.8613954761516815
Silver perch,31,41.54908876523112,29.319076862060875,0.7056490944416453,0.17618514992815484,0.29958744155019607,0.7445044758069094,0.6379283609861995,1.6586440617409517
Bay anchovy,32,3.4174304727875313,25.764645578080128,7.539186468675808,0.05953280208046973,0.1123755715039171,0.5202020202020202,0.9363594491539017,1.719208167662957
Mojarra,32,0.1087495228821624,19.12071203853493,175.82341082317703,0,0,1,1,3.6863173642163534
Pigfish,32,0.6220518968111438,59.42223473678424,95.52616918524556,0,0,1,1,2.939210486095741
Pinfish,32,2.0198819321228143,21.549534389922393,10.668709911808905,0,0,1,1,3.3251823933528337
Pink shrimp,32,0.7853709278968446,34.3150303691362,43.692768792739614,0,0,1,1,4.0530815198452395
